number,name,type1,type2,total_stats,hp,attack,defense,sp_atk,sp_def,speed,generation,legendary
47,parasect,bug,grass,405,60,95,80,60,80,30,1,False
48,venonat,bug,poison,305,60,55,50,40,55,45,1,False
49,venomoth,bug,poison,450,70,65,60,90,75,90,1,False
50,diglett,ground,none,265,10,55,25,35,45,95,1,False
50,alolan diglett,ground,steel,265,10,55,30,35,45,90,7,False
51,dugtrio,ground,none,405,35,80,50,50,70,120,1,False
51,alolan dugtrio,ground,steel,425,35,100,60,50,70,110,7,False
52,meowth,normal,none,290,40,45,35,40,40,90,1,False
53,gigantamax meowth,normal,none,290,40,45,35,40,40,90,1,False
52,alolan meowth,dark,none,290,40,35,35,50,40,90,7,False
52,galarian meowth,steel,none,290,50,65,55,40,40,40,8,False
53,persian,normal,none,440,65,70,60,65,65,115,1,False
53,alolan persian,dark,none,440,65,60,60,75,65,115,7,False
54,psyduck,water,none,320,50,52,48,65,50,55,1,False
55,golduck,water,none,500,80,82,78,95,80,85,1,False
56,mankey,fighting,none,305,40,80,35,35,45,70,1,False
57,primeape,fighting,none,455,65,105,60,60,70,95,1,False
58,growlithe,fire,none,350,55,70,45,70,50,60,1,False
59,arcanine,fire,none,555,90,110,80,100,80,95,1,False
60,poliwag,water,none,300,40,50,40,40,40,90,1,False
61,poliwhirl,water,none,385,65,65,65,50,50,90,1,False
62,poliwrath,water,fighting,510,90,95,95,70,90,70,1,False
63,abra,psychic,none,310,25,20,15,105,55,90,1,False
64,kadabra,psychic,none,400,40,35,30,120,70,105,1,False
65,alakazam,psychic,none,500,55,50,45,135,95,120,1,False
65,mega alakazam,psychic,none,590,55,50,65,175,95,150,1,False
66,machop,fighting,none,305,70,80,50,35,35,35,1,False
67,machoke,fighting,none,405,80,100,70,50,60,45,1,False
68,machamp,fighting,none,505,90,130,80,65,85,55,1,False
68,gigantamax machamp,fighting,none,505,90,130,80,65,85,55,1,False
69,bellsprout,grass,poison,300,50,75,35,70,30,40,1,False
70,weepinbell,grass,poison,390,65,90,50,85,45,55,1,False
71,victreebel,grass,poison,490,80,105,65,100,70,70,1,False
72,tentacool,water,poison,335,40,40,35,50,100,70,1,False
73,tentacruel,water,poison,515,80,70,65,80,120,100,1,False
74,geodude,rock,ground,300,40,80,100,30,30,20,1,False
74,alolan geodude,rock,electric,300,40,80,100,30,30,20,7,False
75,graveler,rock,ground,390,55,95,115,45,45,35,1,False
75,alolan graveler,rock,electric,390,55,95,115,45,45,35,7,False
76,golem,rock,ground,495,80,120,130,55,65,45,1,False
76,alolan golem,rock,electric,495,80,120,130,55,65,45,7,False
77,ponyta,fire,none,410,50,85,55,65,65,90,1,False
77,galarian ponyta,psychic,fairy,410,50,85,55,65,65,90,8,False
78,rapidash,fire,none,500,65,100,70,80,80,105,1,False
78,galarian rapidash,psychic,fairy,500,65,100,70,80,80,105,8,False
79,slowpoke,water,psychic,315,90,65,65,40,40,15,1,False
79,galarian slowpoke,psychic,none,315,90,65,65,40,40,15,8,False
80,slowbro,water,psychic,490,95,75,110,100,80,30,1,False
80,galarian slowbro,poison,psychic,490,95,100,95,100,70,30,8,False
80,mega slowbro,water,psychic,590,95,75,180,130,80,30,1,False
81,magnemite,electric,steel,325,25,35,70,95,55,45,1,False
82,magneton,electric,steel,465,50,60,95,120,70,70,1,False
83,farfetch'd,normal,flying,352,52,90,55,58,62,60,1,False
83,galarian farfetched,fighting,none,377,52,95,55,58,62,55,8,False
84,doduo,normal,flying,310,35,85,45,35,35,75,1,False
85,dodrio,normal,flying,460,60,110,70,60,60,100,1,False
86,seel,water,none,325,65,45,55,45,70,45,1,False
87,dewgong,water,ice,475,90,70,80,70,95,70,1,False
88,grimer,poison,none,325,80,80,50,40,50,25,1,False
88,alolan grimer,poison,dark,325,80,80,50,40,50,25,7,False
89,muk,poison,none,500,105,105,75,65,100,50,1,False
89,alolan muk,poison,dark,500,105,105,75,65,100,50,7,False
90,shellder,water,none,305,30,65,100,45,25,40,1,False
91,cloyster,water,ice,525,50,95,180,85,45,70,1,False
92,gastly,ghost,poison,310,30,35,30,100,35,80,1,False
93,haunter,ghost,poison,405,45,50,45,115,55,95,1,False
94,gengar,ghost,poison,500,60,65,60,130,75,110,1,False
94,mega gengar,ghost,poison,600,60,65,80,170,95,130,1,False
94,gigantamax gengar,ghost,poison,500,60,65,60,130,75,110,1,False
95,onix,rock,ground,385,35,45,160,30,45,70,1,False
96,drowzee,psychic,none,328,60,48,45,43,90,42,1,False
97,hypno,psychic,none,483,85,73,70,73,115,67,1,False
98,krabby,water,none,325,30,105,90,25,25,50,1,False
99,kingler,water,none,475,55,130,115,50,50,75,1,False
99,gigantamax kingler,water,none,475,55,130,115,50,50,75,1,False
100,voltorb,electric,none,330,40,30,50,55,55,100,1,False
101,electrode,electric,none,480,60,50,70,80,80,140,1,False
102,exeggcute,grass,psychic,325,60,40,80,60,45,40,1,False
103,exeggutor,grass,psychic,520,95,95,85,125,65,55,1,False
103,alolan exeggutor,grass,dragon,530,95,105,85,125,75,45,7,False
104,cubone,ground,none,320,50,50,95,40,50,35,1,False
105,marowak,ground,none,425,60,80,110,50,80,45,1,False
105,alolan marowak,fire,ghost,425,60,80,110,50,80,45,7,False
106,hitmonlee,fighting,none,455,50,120,53,35,110,87,1,False
107,hitmonchan,fighting,none,455,50,105,79,35,110,76,1,False
108,lickitung,normal,none,385,90,55,75,60,75,30,1,False
109,koffing,poison,none,340,40,65,95,60,45,35,1,False
110,weezing,poison,none,490,65,90,120,85,70,60,1,False
110,galarian weezing,poison,fairy,490,65,90,120,85,70,60,8,False
111,rhyhorn,ground,rock,345,80,85,95,30,30,25,1,False
112,rhydon,ground,rock,485,105,130,120,45,45,40,1,False
113,chansey,normal,none,450,250,5,5,35,105,50,1,False
114,tangela,grass,none,435,65,55,115,100,40,60,1,False
115,kangaskhan,normal,none,490,105,95,80,40,80,90,1,False
115,mega kangaskhan,normal,none,590,105,125,100,60,100,100,1,False
116,horsea,water,none,295,30,40,70,70,25,60,1,False
117,seadra,water,none,440,55,65,95,95,45,85,1,False
118,goldeen,water,none,320,45,67,60,35,50,63,1,False
119,seaking,water,none,450,80,92,65,65,80,68,1,False
120,staryu,water,none,340,30,45,55,70,55,85,1,False
121,starmie,water,psychic,520,60,75,85,100,85,115,1,False
122,mr. mime,psychic,fairy,460,40,45,65,100,120,90,1,False
122,galarian mr. mime,ice,psychic,460,50,65,65,90,90,100,8,False
123,scyther,bug,flying,500,70,110,80,55,80,105,1,False
124,jynx,ice,psychic,455,65,50,35,115,95,95,1,False
125,electabuzz,electric,none,490,65,83,57,95,85,105,1,False
126,magmar,fire,none,495,65,95,57,100,85,93,1,False
127,pinsir,bug,none,500,65,125,100,55,70,85,1,False
127,mega pinsir,bug,flying,600,65,155,120,65,90,105,1,False
128,tauros,normal,none,490,75,100,95,40,70,110,1,False
129,magikarp,water,none,200,20,10,55,15,20,80,1,False
130,gyarados,water,flying,540,95,125,79,60,100,81,1,False
130,mega gyarados,water,dark,640,95,155,109,70,130,81,1,False
131,lapras,water,ice,535,130,85,80,85,95,60,1,False
131,gigantamax lapras,water,ice,535,130,85,80,85,95,60,1,False
132,ditto,normal,none,288,48,48,48,48,48,48,1,False
133,eevee,normal,none,325,55,55,50,45,65,55,1,False
133,gigantamax eevee,normal,none,325,55,55,50,45,65,55,1,False
134,vaporeon,water,none,525,130,65,60,110,95,65,1,False
135,jolteon,electric,none,525,65,65,60,110,95,130,1,False
136,flareon,fire,none,525,65,130,60,95,110,65,1,False
137,porygon,normal,none,395,65,60,70,85,75,40,1,False
138,omanyte,rock,water,355,35,40,100,90,55,35,1,False
139,omastar,rock,water,495,70,60,125,115,70,55,1,False
140,kabuto,rock,water,355,30,80,90,55,45,55,1,False
141,kabutops,rock,water,495,60,115,105,65,70,80,1,False
142,aerodactyl,rock,flying,515,80,105,65,60,75,130,1,False
142,mega aerodactyl,rock,flying,615,80,135,85,70,95,150,1,False
143,snorlax,normal,none,540,160,110,65,65,110,30,1,False
143,gigantamax snorlax,normal,none,540,160,110,65,65,110,30,1,False
144,articuno,ice,flying,580,90,85,100,95,125,85,1,True
144,galarian articuno,psychic,flying,580,90,85,85,125,100,95,8,True
145,zapdos,electric,flying,580,90,90,85,125,90,100,1,True
145,galarian zapdos,fighting,flying,580,90,125,90,85,90,100,8,True
146,moltres,fire,flying,580,90,100,90,125,85,90,1,True
146,galarian moltres,dark,flying,580,90,85,90,100,125,90,8,True
147,dratini,dragon,none,300,41,64,45,50,50,50,1,False
148,dragonair,dragon,none,420,61,84,65,70,70,70,1,False
149,dragonite,dragon,flying,600,91,134,95,100,100,80,1,False
150,mewtwo,psychic,none,680,106,110,90,154,90,130,1,True
150,mega mewtwo x,psychic,fighting,780,106,190,100,154,100,130,1,True
150,mega mewtwo y,psychic,none,780,106,150,70,194,120,140,1,True
151,mew,psychic,none,600,100,100,100,100,100,100,1,True
152,chikorita,grass,none,318,45,49,65,49,65,45,2,False
153,bayleef,grass,none,405,60,62,80,63,80,60,2,False
154,meganium,grass,none,525,80,82,100,83,100,80,2,False
155,cyndaquil,fire,none,309,39,52,43,60,50,65,2,False
156,quilava,fire,none,405,58,64,58,80,65,80,2,False
157,typhlosion,fire,none,534,78,84,78,109,85,100,2,False
158,totodile,water,none,314,50,65,64,44,48,43,2,False
159,croconaw,water,none,405,65,80,80,59,63,58,2,False
160,feraligatr,water,none,530,85,105,100,79,83,78,2,False
161,sentret,normal,none,215,35,46,34,35,45,20,2,False
162,furret,normal,none,415,85,76,64,45,55,90,2,False
163,hoothoot,normal,flying,262,60,30,30,36,56,50,2,False
164,noctowl,normal,flying,442,100,50,50,76,96,70,2,False
165,ledyba,bug,flying,265,40,20,30,40,80,55,2,False
166,ledian,bug,flying,390,55,35,50,55,110,85,2,False
167,spinarak,bug,poison,250,40,60,40,40,40,30,2,False
168,ariados,bug,poison,390,70,90,70,60,60,40,2,False
169,crobat,poison,flying,535,85,90,80,70,80,130,2,False
170,chinchou,water,electric,330,75,38,38,56,56,67,2,False
171,lanturn,water,electric,460,125,58,58,76,76,67,2,False
172,pichu,electric,none,205,20,40,15,35,35,60,2,False
173,cleffa,fairy,none,218,50,25,28,45,55,15,2,False
174,igglybuff,normal,fairy,210,90,30,15,40,20,15,2,False
175,togepi,fairy,none,245,35,20,65,40,65,20,2,False
176,togetic,fairy,flying,405,55,40,85,80,105,40,2,False
177,natu,psychic,flying,320,40,50,45,70,45,70,2,False
178,xatu,psychic,flying,470,65,75,70,95,70,95,2,False
179,mareep,electric,none,280,55,40,40,65,45,35,2,False
180,flaaffy,electric,none,365,70,55,55,80,60,45,2,False
181,ampharos,electric,none,510,90,75,85,115,90,55,2,False
181,mega ampharos,electric,dragon,610,90,95,105,165,110,45,2,False
182,bellossom,grass,none,490,75,80,95,90,100,50,2,False
183,marill,water,fairy,250,70,20,50,20,50,40,2,False
184,azumarill,water,fairy,420,100,50,80,60,80,50,2,False
185,sudowoodo,rock,none,410,70,100,115,30,65,30,2,False
186,politoed,water,none,500,90,75,75,90,100,70,2,False
187,hoppip,grass,flying,250,35,35,40,35,55,50,2,False
188,skiploom,grass,flying,340,55,45,50,45,65,80,2,False
189,jumpluff,grass,flying,460,75,55,70,55,95,110,2,False
190,aipom,normal,none,360,55,70,55,40,55,85,2,False
191,sunkern,grass,none,180,30,30,30,30,30,30,2,False
192,sunflora,grass,none,425,75,75,55,105,85,30,2,False
193,yanma,bug,flying,390,65,65,45,75,45,95,2,False
194,wooper,water,ground,210,55,45,45,25,25,15,2,False
195,quagsire,water,ground,430,95,85,85,65,65,35,2,False
196,espeon,psychic,none,525,65,65,60,130,95,110,2,False
197,umbreon,dark,none,525,95,65,110,60,130,65,2,False
198,murkrow,dark,flying,405,60,85,42,85,42,91,2,False
199,slowking,water,psychic,490,95,75,80,100,110,30,2,False
199,galarian slowking,poison,psychic,490,95,65,80,110,110,30,8,False
200,misdreavus,ghost,none,435,60,60,60,85,85,85,2,False
201,unown,psychic,none,336,48,72,48,72,48,48,2,False
202,wobbuffet,psychic,none,405,190,33,58,33,58,33,2,False
203,girafarig,normal,psychic,455,70,80,65,90,65,85,2,False
204,pineco,bug,none,290,50,65,90,35,35,15,2,False
205,forretress,bug,steel,465,75,90,140,60,60,40,2,False
206,dunsparce,normal,none,415,100,70,70,65,65,45,2,False
207,gligar,ground,flying,430,65,75,105,35,65,85,2,False
208,steelix,steel,ground,510,75,85,200,55,65,30,2,False
208,mega steelix,steel,ground,610,75,125,230,55,95,30,2,False
209,snubbull,fairy,none,300,60,80,50,40,40,30,2,False
210,granbull,fairy,none,450,90,120,75,60,60,45,2,False
211,qwilfish,water,poison,430,65,95,75,55,55,85,2,False
212,scizor,bug,steel,500,70,130,100,55,80,65,2,False
212,mega scizor,bug,steel,600,70,150,140,65,100,75,2,False
213,shuckle,bug,rock,505,20,10,230,10,230,5,2,False
214,heracross,bug,fighting,500,80,125,75,40,95,85,2,False
214,mega heracross,bug,fighting,600,80,185,115,40,105,75,2,False
215,sneasel,dark,ice,430,55,95,55,35,75,115,2,False
216,teddiursa,normal,none,330,60,80,50,50,50,40,2,False
217,ursaring,normal,none,500,90,130,75,75,75,55,2,False
218,slugma,fire,none,250,40,40,40,70,40,20,2,False
219,magcargo,fire,rock,410,50,50,120,80,80,30,2,False
220,swinub,ice,ground,250,50,50,40,30,30,50,2,False
221,piloswine,ice,ground,450,100,100,80,60,60,50,2,False
222,corsola,water,rock,380,55,55,85,65,85,35,2,False
222,galarian corsola,ghost,none,380,60,55,100,65,100,30,8,False
223,remoraid,water,none,300,35,65,35,65,35,65,2,False
224,octillery,water,none,480,75,105,75,105,75,45,2,False
225,delibird,ice,flying,330,45,55,45,65,45,75,2,False
226,mantine,water,flying,465,65,40,70,80,140,70,2,False
227,skarmory,steel,flying,465,65,80,140,40,70,70,2,False
228,houndour,dark,fire,330,45,60,30,80,50,65,2,False
229,houndoom,dark,fire,500,75,90,50,110,80,95,2,False
229,mega houndoom,dark,fire,600,75,90,90,140,90,115,2,False
230,kingdra,water,dragon,540,75,95,95,95,95,85,2,False
231,phanpy,ground,none,330,90,60,60,40,40,40,2,False
232,donphan,ground,none,500,90,120,120,60,60,50,2,False
233,porygon2,normal,none,515,85,80,90,105,95,60,2,False
234,stantler,normal,none,465,73,95,62,85,65,85,2,False
235,smeargle,normal,none,250,55,20,35,20,45,75,2,False
236,tyrogue,fighting,none,210,35,35,35,35,35,35,2,False
237,hitmontop,fighting,none,455,50,95,95,35,110,70,2,False
238,smoochum,ice,psychic,305,45,30,15,85,65,65,2,False
239,elekid,electric,none,360,45,63,37,65,55,95,2,False
240,magby,fire,none,365,45,75,37,70,55,83,2,False
241,miltank,normal,none,490,95,80,105,40,70,100,2,False
242,blissey,normal,none,540,255,10,10,75,135,55,2,False
243,raikou,electric,none,580,90,85,75,115,100,115,2,True
244,entei,fire,none,580,115,115,85,90,75,100,2,True
245,suicune,water,none,580,100,75,115,90,115,85,2,True
246,larvitar,rock,ground,300,50,64,50,45,50,41,2,False
247,pupitar,rock,ground,410,70,84,70,65,70,51,2,False
248,tyranitar,rock,dark,600,100,134,110,95,100,61,2,False
248,mega tyranitar,rock,dark,700,100,164,150,95,120,71,2,False
249,lugia,psychic,flying,680,106,90,130,90,154,110,2,True
250,ho-oh,fire,flying,680,106,130,90,110,154,90,2,True
251,celebi,psychic,grass,600,100,100,100,100,100,100,2,True
252,treecko,grass,none,310,40,45,35,65,55,70,3,False
253,grovyle,grass,none,405,50,65,45,85,65,95,3,False
254,sceptile,grass,none,530,70,85,65,105,85,120,3,False
254,mega sceptile,grass,dragon,630,70,110,75,145,85,145,3,False
255,torchic,fire,none,310,45,60,40,70,50,45,3,False
256,combusken,fire,fighting,405,60,85,60,85,60,55,3,False
257,blaziken,fire,fighting,530,80,120,70,110,70,80,3,False
257,mega blaziken,fire,fighting,630,80,160,80,130,80,100,3,False
258,mudkip,water,none,310,50,70,50,50,50,40,3,False
259,marshtomp,water,ground,405,70,85,70,60,70,50,3,False
260,swampert,water,ground,535,100,110,90,85,90,60,3,False
260,mega swampert,water,ground,635,100,150,110,95,110,70,3,False
261,poochyena,dark,none,220,35,55,35,30,30,35,3,False
262,mightyena,dark,none,420,70,90,70,60,60,70,3,False
263,zigzagoon,normal,none,240,38,30,41,30,41,60,3,False
263,galarian zigzagoon,dark,normal,240,38,30,41,30,41,60,8,False
264,linoone,normal,none,420,78,70,61,50,61,100,3,False
264,galarian linoone,dark,normal,420,78,70,61,50,61,100,8,False
265,wurmple,bug,none,195,45,45,35,20,30,20,3,False
266,silcoon,bug,none,205,50,35,55,25,25,15,3,False
267,beautifly,bug,flying,395,60,70,50,100,50,65,3,False
268,cascoon,bug,none,205,50,35,55,25,25,15,3,False
269,dustox,bug,poison,385,60,50,70,50,90,65,3,False
270,lotad,water,grass,220,40,30,30,40,50,30,3,False
271,lombre,water,grass,340,60,50,50,60,70,50,3,False
272,ludicolo,water,grass,480,80,70,70,90,100,70,3,False
273,seedot,grass,none,220,40,40,50,30,30,30,3,False
274,nuzleaf,grass,dark,340,70,70,40,60,40,60,3,False
275,shiftry,grass,dark,480,90,100,60,90,60,80,3,False
276,taillow,normal,flying,270,40,55,30,30,30,85,3,False
277,swellow,normal,flying,430,60,85,60,50,50,125,3,False
278,wingull,water,flying,270,40,30,30,55,30,85,3,False
279,pelipper,water,flying,430,60,50,100,85,70,65,3,False
280,ralts,psychic,fairy,198,28,25,25,45,35,40,3,False
281,kirlia,psychic,fairy,278,38,35,35,65,55,50,3,False
282,gardevoir,psychic,fairy,518,68,65,65,125,115,80,3,False
282,mega gardevoir,psychic,fairy,618,68,85,65,165,135,100,3,False
283,surskit,bug,water,269,40,30,32,50,52,65,3,False
284,masquerain,bug,flying,414,70,60,62,80,82,60,3,False
285,shroomish,grass,none,295,60,40,60,40,60,35,3,False
286,breloom,grass,fighting,460,60,130,80,60,60,70,3,False
287,slakoth,normal,none,280,60,60,60,35,35,30,3,False
288,vigoroth,normal,none,440,80,80,80,55,55,90,3,False
289,slaking,normal,none,670,150,160,100,95,65,100,3,False
290,nincada,bug,ground,266,31,45,90,30,30,40,3,False
291,ninjask,bug,flying,456,61,90,45,50,50,160,3,False
292,shedinja,bug,ghost,236,1,90,45,30,30,40,3,False
293,whismur,normal,none,240,64,51,23,51,23,28,3,False
294,loudred,normal,none,360,84,71,43,71,43,48,3,False
295,exploud,normal,none,490,104,91,63,91,73,68,3,False
296,makuhita,fighting,none,237,72,60,30,20,30,25,3,False
297,hariyama,fighting,none,474,144,120,60,40,60,50,3,False
298,azurill,normal,fairy,190,50,20,40,20,40,20,3,False
299,nosepass,rock,none,375,30,45,135,45,90,30,3,False
300,skitty,normal,none,260,50,45,45,35,35,50,3,False
301,delcatty,normal,none,380,70,65,65,55,55,70,3,False
302,sableye,dark,ghost,380,50,75,75,65,65,50,3,False
302,mega sableye,dark,ghost,480,50,85,125,85,115,20,3,False
303,mawile,steel,fairy,380,50,85,85,55,55,50,3,False
303,mega mawile,steel,fairy,480,50,105,125,55,95,50,3,False
304,aron,steel,rock,330,50,70,100,40,40,30,3,False
305,lairon,steel,rock,430,60,90,140,50,50,40,3,False
306,aggron,steel,rock,530,70,110,180,60,60,50,3,False
306,mega aggron,steel,none,630,70,140,230,60,80,50,3,False
307,meditite,fighting,psychic,280,30,40,55,40,55,60,3,False
308,medicham,fighting,psychic,410,60,60,75,60,75,80,3,False
308,mega medicham,fighting,psychic,510,60,100,85,80,85,100,3,False
309,electrike,electric,none,295,40,45,40,65,40,65,3,False
310,manectric,electric,none,475,70,75,60,105,60,105,3,False
310,mega manectric,electric,none,575,70,75,80,135,80,135,3,False
311,plusle,electric,none,405,60,50,40,85,75,95,3,False
312,minun,electric,none,405,60,40,50,75,85,95,3,False
313,volbeat,bug,none,400,65,73,55,47,75,85,3,False
314,illumise,bug,none,400,65,47,55,73,75,85,3,False
315,roselia,grass,poison,400,50,60,45,100,80,65,3,False
316,gulpin,poison,none,302,70,43,53,43,53,40,3,False
317,swalot,poison,none,467,100,73,83,73,83,55,3,False
318,carvanha,water,dark,305,45,90,20,65,20,65,3,False
319,sharpedo,water,dark,460,70,120,40,95,40,95,3,False
319,mega sharpedo,water,dark,560,70,140,70,110,65,105,3,False
320,wailmer,water,none,400,130,70,35,70,35,60,3,False
321,wailord,water,none,500,170,90,45,90,45,60,3,False
322,numel,fire,ground,305,60,60,40,65,45,35,3,False
323,camerupt,fire,ground,460,70,100,70,105,75,40,3,False
323,mega camerupt,fire,ground,560,70,120,100,145,105,20,3,False
324,torkoal,fire,none,470,70,85,140,85,70,20,3,False
325,spoink,psychic,none,330,60,25,35,70,80,60,3,False
326,grumpig,psychic,none,470,80,45,65,90,110,80,3,False
327,spinda,normal,none,360,60,60,60,60,60,60,3,False
328,trapinch,ground,none,290,45,100,45,45,45,10,3,False
329,vibrava,ground,dragon,340,50,70,50,50,50,70,3,False
330,flygon,ground,dragon,520,80,100,80,80,80,100,3,False
331,cacnea,grass,none,335,50,85,40,85,40,35,3,False
332,cacturne,grass,dark,475,70,115,60,115,60,55,3,False
333,swablu,normal,flying,310,45,40,60,40,75,50,3,False
334,altaria,dragon,flying,490,75,70,90,70,105,80,3,False
334,mega altaria,dragon,fairy,590,75,110,110,110,105,80,3,False
335,zangoose,normal,none,458,73,115,60,60,60,90,3,False
336,seviper,poison,none,458,73,100,60,100,60,65,3,False
337,lunatone,rock,psychic,440,70,55,65,95,85,70,3,False
338,solrock,rock,psychic,440,70,95,85,55,65,70,3,False
339,barboach,water,ground,288,50,48,43,46,41,60,3,False
340,whiscash,water,ground,468,110,78,73,76,71,60,3,False
341,corphish,water,none,308,43,80,65,50,35,35,3,False
342,crawdaunt,water,dark,468,63,120,85,90,55,55,3,False
343,baltoy,ground,psychic,300,40,40,55,40,70,55,3,False
344,claydol,ground,psychic,500,60,70,105,70,120,75,3,False
345,lileep,rock,grass,355,66,41,77,61,87,23,3,False
346,cradily,rock,grass,495,86,81,97,81,107,43,3,False
347,anorith,rock,bug,355,45,95,50,40,50,75,3,False
348,armaldo,rock,bug,495,75,125,100,70,80,45,3,False
349,feebas,water,none,200,20,15,20,10,55,80,3,False
350,milotic,water,none,540,95,60,79,100,125,81,3,False
351,castform,normal,none,420,70,70,70,70,70,70,3,False
352,kecleon,normal,none,440,60,90,70,60,120,40,3,False
353,shuppet,ghost,none,295,44,75,35,63,33,45,3,False
354,banette,ghost,none,455,64,115,65,83,63,65,3,False
354,mega banette,ghost,none,555,64,165,75,93,83,75,3,False
355,duskull,ghost,none,295,20,40,90,30,90,25,3,False
356,dusclops,ghost,none,455,40,70,130,60,130,25,3,False
357,tropius,grass,flying,460,99,68,83,72,87,51,3,False
358,chimecho,psychic,none,425,65,50,70,95,80,65,3,False
359,absol,dark,none,465,65,130,60,75,60,75,3,False
359,mega absol,dark,none,565,65,150,60,115,60,115,3,False
360,wynaut,psychic,none,260,95,23,48,23,48,23,3,False
361,snorunt,ice,none,300,50,50,50,50,50,50,3,False
362,glalie,ice,none,480,80,80,80,80,80,80,3,False
362,mega glalie,ice,none,580,80,120,80,120,80,100,3,False
363,spheal,ice,water,290,70,40,50,55,50,25,3,False
364,sealeo,ice,water,410,90,60,70,75,70,45,3,False
365,walrein,ice,water,530,110,80,90,95,90,65,3,False
366,clamperl,water,none,345,35,64,85,74,55,32,3,False
367,huntail,water,none,485,55,104,105,94,75,52,3,False
368,gorebyss,water,none,485,55,84,105,114,75,52,3,False
369,relicanth,water,rock,485,100,90,130,45,65,55,3,False
370,luvdisc,water,none,330,43,30,55,40,65,97,3,False
